term_id,name,description,status,acronyms,owner_ids,experts,synonyms,parent_term_name,parent_term_id,related_terms,related_term_ids,resource_name,resource_url,customAttributes.DataGovernance.Classification,customAttributes.DataGovernance.Sensitivity,customAttributes.BusinessContext.Domain,customAttributes.BusinessContext.Priority
,Business Terms,Termes métier racine,Published,BT,user-owner-guid-1,user-expert-guid-1,"Business Glossary,Corporate Terms",,,,,Documentation Business,https://docs.example.com/business,ORGANIZATIONAL,LOW,Corporate,HIGH
,Client,Entité représentant un client de l'entreprise,Published,CLT,user-owner-guid-1,user-expert-guid-1;user-expert-guid-2,"Customer,Consumer,Buyer",Business Terms,,Partie Prenante,,Client API Guide;Documentation Client,https://api.example.com/client;https://docs.example.com/client,PII,HIGH,Sales,CRITICAL
,Produit,Catalogue des produits vendus,Draft,PRD,user-owner-guid-2,user-expert-guid-3,"Item,SKU,Article,Product",Business Terms,,Client,,Product Catalog;Inventory Guide,https://docs.example.com/products;https://inventory.example.com,NON_PII,LOW,Product Management,MEDIUM
,Commande,Transaction d'achat effectuée par un client,Published,CMD,user-owner-guid-1,user-expert-guid-1,"Order,Purchase,Sale",Transaction,,Client;Produit,,Order Processing API,https://api.example.com/orders,TRANSACTIONAL,MEDIUM,Sales,HIGH
,Transaction,Transaction financière générique,Draft,TXN,user-owner-guid-3,user-expert-guid-2,"Payment,Settlement,Transfer",Business Terms,,,,Transaction API;Finance Guide,https://api.example.com/transactions;https://finance.example.com/transactions,FINANCIAL,HIGH,Finance,CRITICAL
,Partie Prenante,Toute entité impliquée dans le processus métier,Published,STK,user-owner-guid-1,user-expert-guid-3,"Stakeholder,Actor,Participant",Business Terms,,,,Stakeholder Management,https://docs.example.com/stakeholders,ORGANIZATIONAL,LOW,Corporate,MEDIUM
,Facture,Document de facturation client,Draft,INV,user-owner-guid-2,user-expert-guid-1,"Bill,Invoice,Statement",Transaction,,Commande;Client,,Billing System Guide,https://billing.example.com/guide,FINANCIAL,MEDIUM,Finance,HIGH
,Paiement,Enregistrement de paiement reçu,Published,PAY,user-owner-guid-3,user-expert-guid-2,"Payment,Receipt,Remittance",Transaction,,Facture,,Payment Gateway API;Payment Guide,https://api.example.com/payments;https://docs.example.com/payments,FINANCIAL,HIGH,Finance,CRITICAL
,Adresse Client,Adresse postale du client,Draft,ADR,user-owner-guid-1,user-expert-guid-3,"Address,Location,Postal Address",Client,,,,Address Validation API,https://api.example.com/address-validation,PII,HIGH,Sales,HIGH
,Remboursement,Opération de remboursement au client,Draft,RBT,user-owner-guid-3,user-expert-guid-2,"Refund,Reimbursement,Chargeback",Paiement,,Facture,,Refund Process Guide,https://docs.example.com/refunds,FINANCIAL,MEDIUM,Finance,HIGH
,Contact Client,Informations de contact du client,Draft,CTT,user-owner-guid-1,user-expert-guid-1,"Client Contact,Customer Contact,User Contact",Client,,Adresse Client,,Contact Management,https://crm.example.com/contacts,PII,HIGH,Sales,CRITICAL
,Catégorie Produit,Classification des produits par catégorie,Published,CAT,user-owner-guid-2,user-expert-guid-3,"Product Category,Category,Product Class",Produit,,,,Category Taxonomy,https://docs.example.com/categories,NON_PII,LOW,Product Management,MEDIUM
,Prix Produit,Tarification des produits,Draft,PRX,user-owner-guid-2,user-expert-guid-3,"Product Price,Pricing,Cost",Produit,,Commande,,Pricing Strategy Guide;Price API,https://docs.example.com/pricing;https://api.example.com/prices,FINANCIAL,MEDIUM,Finance,HIGH
,Fournisseur,Entité fournissant des produits ou services,Published,FRN,user-owner-guid-2,user-expert-guid-1;user-expert-guid-3,"Supplier,Vendor,Provider",Partie Prenante,,Produit,,Supplier Portal,https://suppliers.example.com,ORGANIZATIONAL,MEDIUM,Procurement,HIGH
,Contrat,Accord contractuel avec un fournisseur ou client,Draft,CTR,user-owner-guid-3,user-expert-guid-2,"Contract,Agreement,Deal",Transaction,,Fournisseur;Client,,Contract Management System,https://contracts.example.com,LEGAL,HIGH,Legal,CRITICAL
